,Sr_No.,State,District,Total Households,"Electrified Households as on 10th Oct,2017","Balance Unelectrified Households as on 10th Oct,2017","Household Progress from 10th Oct,2017 to 31th Jan,2019 (a)","Additional Households electrifed from 1st Feb,2019 onwards due to Saubhagya Rath Campaigns, Camps, Control Centre, etc to till date (b)",Total Progress (a+b),Progress on last day (21-08-2019),Balance Un-electrified Households,Household Electrification (%)
0,1,Andaman & Nicobar Island,,,,,,,,,,
1,2,Andhra Pradesh,East Godavari,1860516,1820141,40375,40375,5674,46049,0,0,100.0
2,2,Andhra Pradesh,West Godavari,1137681,1101815,35866,35866,4947,40813,0,0,100.0
3,2,Andhra Pradesh,Guntur,966913,965387,1526,1526,0,1526,0,0,100.0
4,2,Andhra Pradesh,Krishna,946870,946735,135,135,0,135,0,0,100.0
5,2,Andhra Pradesh,Chittoor,892179,889879,2300,2300,0,2300,0,0,100.0
6,2,Andhra Pradesh,Anantapur,818514,809483,9031,9031,0,9031,0,0,100.0
7,2,Andhra Pradesh,Srikakulam,789982,776038,13944,13944,2740,16684,0,0,100.0
8,2,Andhra Pradesh,Prakasam,777095,775297,1798,1798,0,1798,0,0,100.0
9,2,Andhra Pradesh,Visakhapatnam,766059,729821,36238,36238,5475,41713,0,0,100.0
10,2,Andhra Pradesh,Kurnool,729882,724514,5368,5368,0,5368,0,0,100.0
11,2,Andhra Pradesh,Sri Potti Sriramulu Nellore,667843,667192,651,651,0,651,0,0,100.0
12,2,Andhra Pradesh,Vizianagaram,576752,566388,10364,10364,1461,11825,0,0,100.0
13,2,Andhra Pradesh,Kadapa (YSR),512419,508382,4037,4037,0,4037,0,0,100.0
14,3,Arunachal Pradesh,Papum Pare,48085,44478,3607,3607,0,3607,0,0,100.0
15,3,Arunachal Pradesh,Changlang,29622,22729,6893,6893,0,6893,0,0,100.0
16,3,Arunachal Pradesh,Tirap,28243,23578,4665,4665,0,4665,0,0,100.0
17,3,Arunachal Pradesh,Lohit_Namsai,27268,19431,7837,7837,0,7837,0,0,100.0
18,3,Arunachal Pradesh,West Siang,25840,24215,1625,1625,0,1625,0,0,100.0
19,3,Arunachal Pradesh,East Siang,23724,20077,3647,3647,0,3647,0,0,100.0
20,3,Arunachal Pradesh,West Kameng District,21290,20439,851,851,0,851,0,0,100.0
21,3,Arunachal Pradesh,Lower Subansiri,18564,16466,2098,2098,0,2098,0,0,100.0
22,3,Arunachal Pradesh,Upper Subansiri,17593,14757,2836,2836,0,2836,0,0,100.0
23,3,Arunachal Pradesh,Kurung Kumey,15462,11669,3793,3793,0,3793,0,0,100.0
24,3,Arunachal Pradesh,East Kameng District,11611,6529,5082,5082,0,5082,0,0,100.0
25,3,Arunachal Pradesh,Lower Dibang Valley,11402,8614,2788,2788,0,2788,0,0,100.0
26,3,Arunachal Pradesh,Tawang District,9548,9240,308,308,0,308,0,0,100.0
27,3,Arunachal Pradesh,Upper Siang,7226,7068,158,158,0,158,0,0,100.0
28,3,Arunachal Pradesh,Anjaw,5261,4577,684,684,0,684,0,0,100.0
29,3,Arunachal Pradesh,Dibang Valley,1622,1405,217,217,0,217,0,0,100.0
30,4,Assam,Nagaon,574642,481866,92776,92776,5676,98452,0,0,100.0
31,4,Assam,Dhubri,502746,387632,115114,115114,12204,127318,0,0,100.0
32,4,Assam,Barpeta,351423,246847,104576,104576,9735,114311,0,0,100.0
33,4,Assam,Kamrup Metropolitan,350006,341415,8591,8591,77,8668,0,0,100.0
34,4,Assam,Dibrugarh,320172,262832,57340,57340,6725,64065,0,0,100.0
35,4,Assam,Cachar,316372,230990,85382,85382,4214,89596,0,0,100.0
36,4,Assam,Kamrup,308481,239672,68809,68809,6251,75060,0,0,100.0
37,4,Assam,Tinsukia,301537,222947,78590,78590,8236,86826,0,0,100.0
38,4,Assam,Jorhat,286497,247831,38666,38666,2620,41286,0,0,100.0
39,4,Assam,Goalpara,284105,196939,87166,87166,10668,97834,0,0,100.0
40,4,Assam,Karbi Anglong,272840,218198,54642,54642,11474,66116,0,0,100.0
41,4,Assam,Sonitpur,265680,202435,63245,63245,9073,72318,0,0,100.0
42,4,Assam,Karimganj,254307,198492,55815,55815,2478,58293,0,0,100.0
43,4,Assam,Golaghat,252456,214478,37978,37978,3409,41387,0,0,100.0
44,4,Assam,Marigaon,241469,194512,46957,46957,877,47834,0,0,100.0
45,4,Assam,Sibsagar,234026,183833,50193,50193,6284,56477,0,0,100.0
46,4,Assam,Lakhimpur,223826,159555,64271,64271,5475,69746,0,0,100.0
47,4,Assam,Udalguri,214101,151812,62289,62289,555,62844,0,0,100.0
48,4,Assam,Darrang,211606,142506,69100,69100,2905,72005,0,0,100.0
49,4,Assam,Baksa,202607,128348,74259,74259,3764,78023,0,0,100.0
50,4,Assam,Kokrajhar,201408,144245,57163,57163,3806,60969,0,0,100.0
51,4,Assam,Bongaigaon,169360,140223,29137,29137,2641,31778,0,0,100.0
52,4,Assam,Nalbari,160132,120838,39294,39294,2267,41561,0,0,100.0
53,4,Assam,Dhemaji,146171,95429,50742,50742,11557,62299,0,0,100.0
54,4,Assam,Hailakandi,145629,85166,60463,60463,920,61383,0,0,100.0
55,4,Assam,Chirang,112046,73458,38588,38588,1041,39629,0,0,100.0
56,4,Assam,Dima Hasao,62434,44959,17475,17475,1596,19071,0,0,100.0
57,5,Bihar,Patna,933212,871196,62016,62016,0,62016,0,0,100.0
58,5,Bihar,Muzaffarpur,624125,558195,65930,65930,0,65930,0,0,100.0
59,5,Bihar,Samastipur,615561,411810,203751,203751,0,203751,0,0,100.0
60,5,Bihar,Madhubani,599213,488502,110711,110711,0,110711,0,0,100.0
61,5,Bihar,Purba Champaran,596357,406845,189512,189512,0,189512,0,0,100.0
62,5,Bihar,Darbhanga,586627,442039,144588,144588,0,144588,0,0,100.0
63,5,Bihar,Pashchim Champaran,557221,433091,124130,124130,0,124130,0,0,100.0
64,5,Bihar,Gaya,543193,381714,161479,161479,0,161479,0,0,100.0
65,5,Bihar,Saran,483219,374944,108275,108275,0,108275,0,0,100.0
66,5,Bihar,Begusarai,469941,384813,85128,85128,0,85128,0,0,100.0
67,5,Bihar,Nalanda,451934,404976,46958,46958,0,46958,0,0,100.0
68,5,Bihar,Purnia,451786,333143,118643,118643,0,118643,0,0,100.0
69,5,Bihar,Vaishali,421030,348682,72348,72348,0,72348,0,0,100.0
70,5,Bihar,Bhagalpur,420548,276047,144501,144501,0,144501,0,0,100.0
71,5,Bihar,Araria,413131,243079,170052,170052,0,170052,0,0,100.0
72,5,Bihar,Siwan,389867,283997,105870,105870,0,105870,0,0,100.0
73,5,Bihar,Sitamarhi,379932,316732,63200,63200,0,63200,0,0,100.0
74,5,Bihar,Gopalganj,378322,313517,64805,64805,0,64805,0,0,100.0
75,5,Bihar,Rohtas,354982,307060,47922,47922,0,47922,0,0,100.0
76,5,Bihar,Katihar,347597,191564,156033,156033,0,156033,0,0,100.0
77,5,Bihar,Aurangabad,346081,209807,136274,136274,0,136274,0,0,100.0
78,5,Bihar,Bhojpur,343398,275004,68394,68394,0,68394,0,0,100.0
79,5,Bihar,Supaul,340477,255755,84722,84722,0,84722,0,0,100.0
80,5,Bihar,Nawada,336388,179306,157082,157082,0,157082,0,0,100.0
81,5,Bihar,Kishanganj,295348,253939,41409,41409,0,41409,0,0,100.0
82,5,Bihar,Madhepura,283836,230114,53722,53722,0,53722,0,0,100.0
83,5,Bihar,Banka,266191,179199,86992,86992,0,86992,0,0,100.0
84,5,Bihar,Jamui,244430,161165,83265,83265,0,83265,0,0,100.0
85,5,Bihar,Saharsa,244389,204806,39583,39583,0,39583,0,0,100.0
86,5,Bihar,Khagaria,219013,154144,64869,64869,0,64869,0,0,100.0
87,5,Bihar,Buxar,214760,166615,48145,48145,0,48145,0,0,100.0
88,5,Bihar,Munger,205281,186446,18835,18835,0,18835,0,0,100.0
89,5,Bihar,Kaimur (Bhabua),155507,112857,42650,42650,0,42650,0,0,100.0
90,5,Bihar,Lakhisarai,106891,89604,17287,17287,0,17287,0,0,100.0
91,5,Bihar,Jehanabad,100814,81367,19447,19447,0,19447,0,0,100.0
92,5,Bihar,Sheikhpura,87312,70552,16760,16760,0,16760,0,0,100.0
93,5,Bihar,Sheohar,83970,72478,11492,11492,0,11492,0,0,100.0
94,5,Bihar,Arwal,81238,58977,22261,22261,0,22261,0,0,100.0
95,6,Chandigarh,,,,,,,,,,
96,7,Chhattisgarh,Raipur,871340,859273,12067,12067,366,12433,0,0,100.0
97,7,Chhattisgarh,Bilaspur,507718,459464,48254,48254,2902,51156,0,0,100.0
98,7,Chhattisgarh,Durg,376340,363375,12965,12965,1052,14017,0,0,100.0
99,7,Chhattisgarh,Raigarh,336143,313024,23119,23119,930,24049,0,0,100.0
100,7,Chhattisgarh,Janjgir - Champa,327429,303536,23893,23893,1772,25665,0,0,100.0
101,7,Chhattisgarh,Korba,251991,223061,28930,28930,1348,30278,0,0,100.0
102,7,Chhattisgarh,Mungeli,226442,201906,24536,24536,1476,26012,0,0,100.0
103,7,Chhattisgarh,Surguja,215356,173233,42123,42123,1748,43871,0,0,100.0
104,7,Chhattisgarh,Rajnandgaon,193803,170399,23404,23404,1284,24688,0,0,100.0
105,7,Chhattisgarh,Mahasamund,189297,180441,8856,8856,455,9311,0,0,100.0
106,7,Chhattisgarh,Balod,186239,173041,13198,13198,3244,16442,0,0,100.0
107,7,Chhattisgarh,Baloda Bajar,183994,145630,38364,38364,2498,40862,0,0,100.0
108,7,Chhattisgarh,Bastar,170414,112472,57942,57942,837,58779,0,0,100.0
109,7,Chhattisgarh,Bemetara,167506,138563,28943,28943,2035,30978,0,0,100.0
110,7,Chhattisgarh,Surajpur,162115,127242,34873,34873,1700,36573,0,0,100.0
111,7,Chhattisgarh,Jashpur,159603,104326,55277,55277,2131,57408,0,0,100.0
112,7,Chhattisgarh,Dhamtari,154625,148727,5898,5898,234,6132,0,0,100.0
113,7,Chhattisgarh,Kabeerdham,146127,118334,27793,27793,739,28532,0,0,100.0
114,7,Chhattisgarh,Kanker,140869,119712,21157,21157,2481,23638,0,0,100.0
115,7,Chhattisgarh,Balrampur,131417,90573,40844,40844,3314,44158,0,0,100.0
116,7,Chhattisgarh,Kondagaon,123766,104991,18775,18775,855,19630,0,0,100.0
117,7,Chhattisgarh,Koriya,116925,94103,22822,22822,768,23590,0,0,100.0
118,7,Chhattisgarh,Bijapur,99702,75394,24308,14054,1295,15349,0,9978,90.09
119,7,Chhattisgarh,Gariyabandh,97679,67700,29979,29979,2161,32140,0,0,100.0
120,7,Chhattisgarh,Dantewada,70299,44837,25462,24775,1615,26390,0,462,99.36
121,7,Chhattisgarh,Sukma,43843,20618,23225,16282,860,17142,0,6680,84.97
122,7,Chhattisgarh,Narayanpur,32527,21673,10854,8604,1570,10174,0,1614,95.18
123,8,Dadara & Nagar Havelli,,,,,,,,,,
124,9,Daman & Diu,,,,,,,,,,
125,10,Goa,North Goa,74704,74704,0,0,0,0,0,0,100.0
126,10,Goa,South Goa,53504,53504,0,0,0,0,0,0,100.0
127,11,Gujarat,Surat,1294912,1285192,9720,9720,0,9720,0,0,100.0
128,11,Gujarat,Rajkot,927687,926329,1358,1358,0,1358,0,0,100.0
129,11,Gujarat,Vadodara,892755,886235,6520,6520,0,6520,0,0,100.0
130,11,Gujarat,Bhavnagar,598125,597661,464,464,0,464,0,0,100.0
131,11,Gujarat,Junagadh,585356,584347,1009,1009,0,1009,0,0,100.0
132,11,Gujarat,Banaskantha,559157,557708,1449,1449,0,1449,0,0,100.0
133,11,Gujarat,Sabarkantha,518845,517096,1749,1749,0,1749,0,0,100.0
134,11,Gujarat,Jamnagar,517529,516736,793,793,0,793,0,0,100.0
135,11,Gujarat,Valsad,475950,475950,0,0,0,0,0,0,100.0
136,11,Gujarat,Ahmedabad,449027,447434,1593,1593,0,1593,0,0,100.0
137,11,Gujarat,Anand,436674,435355,1319,1319,0,1319,0,0,100.0
138,11,Gujarat,Mahesana,436225,431506,4719,4719,0,4719,0,0,100.0
139,11,Gujarat,Kheda,402095,401386,709,709,0,709,0,0,100.0
140,11,Gujarat,Panchmahals,395949,395395,554,554,0,554,0,0,100.0
141,11,Gujarat,Navsari,365123,365123,0,0,0,0,0,0,100.0
142,11,Gujarat,Bharuch,351988,350884,1104,1104,0,1104,0,0,100.0
143,11,Gujarat,Amreli,329561,328346,1215,1215,0,1215,0,0,100.0
144,11,Gujarat,Kachchh,282476,282109,367,367,0,367,0,0,100.0
145,11,Gujarat,Gandhinagar,281853,279394,2459,2459,0,2459,0,0,100.0
146,11,Gujarat,Patan,272915,271389,1526,1526,0,1526,0,0,100.0
147,11,Gujarat,Surendranagar,261420,260818,602,602,0,602,0,0,100.0
148,11,Gujarat,Dahod,259480,259185,295,295,0,295,0,0,100.0
149,11,Gujarat,Tapi,175894,174569,1325,1325,0,1325,0,0,100.0
150,11,Gujarat,Porbandar,133726,133604,122,122,0,122,0,0,100.0
151,11,Gujarat,Narmada,132097,131751,346,346,0,346,0,0,100.0
152,11,Gujarat,The Dangs,54024,54024,0,0,0,0,0,0,100.0
153,11,Gujarat,Mahisagar,18395,18395,0,0,0,0,0,0,100.0
154,11,Gujarat,Chhotaudepur,5294,5294,0,0,0,0,0,0,100.0
155,12,Haryana,Hisar,269809,269675,134,134,0,134,0,0,100.0
156,12,Haryana,Yamunanagar,240651,240568,83,83,0,83,0,0,100.0
157,12,Haryana,Mewat,235009,186240,48769,48769,0,48769,0,0,100.0
158,12,Haryana,Bhiwani,227772,227193,579,579,0,579,0,0,100.0
159,12,Haryana,Jind,214434,214143,291,291,0,291,0,0,100.0
160,12,Haryana,Karnal,208354,207617,737,737,0,737,0,0,100.0
161,12,Haryana,Sirsa,201238,200395,843,843,0,843,0,0,100.0
162,12,Haryana,Sonipat,200314,199632,682,682,0,682,0,0,100.0
163,12,Haryana,Panipat,173513,173259,254,254,0,254,0,0,100.0
164,12,Haryana,Kaithal,165815,165364,451,451,0,451,0,0,100.0
165,12,Haryana,Mahendragarh,165095,165095,0,0,0,0,0,0,100.0
166,12,Haryana,Rewari,155627,155627,0,0,0,0,0,0,100.0
167,12,Haryana,Jhajjar,155611,155547,64,64,0,64,0,0,100.0
168,12,Haryana,Ambala,145455,145345,110,110,0,110,0,0,100.0
169,12,Haryana,Fatehabad,138768,138262,506,506,0,506,0,0,100.0
170,12,Haryana,Palwal,130683,130159,524,524,0,524,0,0,100.0
171,12,Haryana,Kurukshetra,119641,119245,396,396,0,396,0,0,100.0
172,12,Haryana,Rohtak,117655,117517,138,138,0,138,0,0,100.0
173,12,Haryana,Gurgaon,86796,86783,13,13,0,13,0,0,100.0
174,12,Haryana,Faridabad,64450,64391,59,59,0,59,0,0,100.0
175,12,Haryana,Panchkula,53282,53234,48,48,0,48,0,0,100.0
176,13,Himachal Pradesh,Kangra,534956,533219,1737,1737,0,1737,0,0,100.0
177,13,Himachal Pradesh,Shimla,286446,284971,1475,1475,0,1475,0,0,100.0
178,13,Himachal Pradesh,Mandi,198852,197532,1320,1320,0,1320,0,0,100.0
179,13,Himachal Pradesh,Solan,155979,154911,1068,1068,0,1068,0,0,100.0
180,13,Himachal Pradesh,Una,126164,123642,2522,2522,0,2522,0,0,100.0
181,13,Himachal Pradesh,Hamirpur,122956,121083,1873,1873,0,1873,0,0,100.0
182,13,Himachal Pradesh,Sirmaur,111239,110280,959,959,0,959,0,0,100.0
183,13,Himachal Pradesh,Kullu,107791,107031,760,760,0,760,0,0,100.0
184,13,Himachal Pradesh,Chamba,102281,101698,583,583,0,583,0,0,100.0
185,13,Himachal Pradesh,Bilaspur,82217,81855,362,362,0,362,0,0,100.0
186,13,Himachal Pradesh,Kinnaur,20360,20238,122,122,0,122,0,0,100.0
187,13,Himachal Pradesh,Lahul & Spiti,6428,6318,110,110,0,110,0,0,100.0
188,14,Jammu & Kashmir,Jammu,375176,356042,19134,19134,7140,26274,0,0,100.0
189,14,Jammu & Kashmir,Srinagar,204533,200987,3546,3546,61,3607,0,0,100.0
190,14,Jammu & Kashmir,Anantnag,168023,148691,19332,19332,0,19332,0,0,100.0
191,14,Jammu & Kashmir,Bandipore,152974,144800,8174,8174,0,8174,0,0,100.0
192,14,Jammu & Kashmir,Rajauri,150242,129683,20559,20559,442,21001,0,0,100.0
193,14,Jammu & Kashmir,Kathua,142548,129803,12745,12745,634,13379,0,0,100.0
194,14,Jammu & Kashmir,Baramula,129447,118714,10733,10733,0,10733,0,0,100.0
195,14,Jammu & Kashmir,Punch,123473,100084,23389,23389,0,23389,0,0,100.0
196,14,Jammu & Kashmir,Udhampur,116389,92718,23671,23671,0,23671,0,0,100.0
197,14,Jammu & Kashmir,Kupwara,113578,97320,16258,16258,0,16258,0,0,100.0
198,14,Jammu & Kashmir,Doda,100569,73376,27193,27193,0,27193,0,0,100.0
199,14,Jammu & Kashmir,Pulwama,95164,78821,16343,16343,550,16893,0,0,100.0
200,14,Jammu & Kashmir,Kulgam,81746,62888,18858,18858,0,18858,0,0,100.0
201,14,Jammu & Kashmir,Samba,77864,65881,11983,11983,0,11983,0,0,100.0
202,14,Jammu & Kashmir,Badgam,72227,59327,12900,12900,12,12912,0,0,100.0
203,14,Jammu & Kashmir,Reasi,68413,45014,23399,23399,0,23399,0,0,100.0
204,14,Jammu & Kashmir,Ramban,67900,49515,18385,18385,0,18385,0,0,100.0
205,14,Jammu & Kashmir,Shopian,56152,34833,21319,21319,0,21319,0,0,100.0
206,14,Jammu & Kashmir,Kishtwar,55697,17885,37812,37812,0,37812,0,0,100.0
207,14,Jammu & Kashmir,Ganderbal,50200,27727,22473,22473,0,22473,0,0,100.0
208,14,Jammu & Kashmir,Leh (Ladakh),25692,18085,7607,7607,0,7607,0,0,100.0
209,14,Jammu & Kashmir,Kargil,23147,20667,2480,2480,369,2849,0,0,100.0
210,15,Jharkhand,Ranchi,611793,516418,95375,95375,9294,104669,0,0,100.0
211,15,Jharkhand,Purbi Singhbhum,486307,373214,113093,113093,794,113887,0,0,100.0
212,15,Jharkhand,Dhanbad,478127,455350,22777,22777,8385,31162,0,0,100.0
213,15,Jharkhand,Giridih,450210,307361,142849,142849,9909,152758,0,0,100.0
214,15,Jharkhand,Palamu,421922,207856,214066,214066,1990,216056,0,0,100.0
215,15,Jharkhand,Dumka,344351,309951,34400,34400,12422,46822,0,0,100.0
216,15,Jharkhand,Pashchimi Singhbhum,336530,304890,31640,31640,19328,50968,0,0,100.0
217,15,Jharkhand,Deoghar,330979,287874,43105,43105,9854,52959,0,0,100.0
218,15,Jharkhand,Hazaribagh,327747,263771,63976,63976,13663,77639,0,0,100.0
219,15,Jharkhand,Godda,295089,221701,73388,73388,1249,74637,0,0,100.0
220,15,Jharkhand,Sarikela-Kharswana,279805,238521,41284,41284,4735,46019,0,0,100.0
221,15,Jharkhand,Bokaro,279450,227863,51587,51587,6558,58145,0,0,100.0
222,15,Jharkhand,Garhwa,251425,180465,70960,70960,4535,75495,0,0,100.0
223,15,Jharkhand,Sahibganj,249348,208186,41162,41162,639,41801,0,0,100.0
224,15,Jharkhand,Chatra,231528,163639,67889,67889,19288,87177,0,0,100.0
225,15,Jharkhand,Pakaur,204775,180603,24172,24172,3645,27817,0,0,100.0
226,15,Jharkhand,Gumla,200151,164906,35245,35245,5187,40432,0,0,100.0
227,15,Jharkhand,Jamtara,183863,148339,35524,35524,3817,39341,0,0,100.0
228,15,Jharkhand,Latehar,144959,105253,39706,39706,4845,44551,0,0,100.0
229,15,Jharkhand,Simdega,144438,124838,19600,19600,2615,22215,0,0,100.0
230,15,Jharkhand,Ramgarh,134394,92152,42242,42242,628,42870,0,0,100.0
231,15,Jharkhand,Koderma,132136,105617,26519,26519,133,26652,0,0,100.0
232,15,Jharkhand,Khunti,123201,99658,23543,23543,3778,27321,0,0,100.0
233,15,Jharkhand,Lohardaga,106508,78216,28292,28292,1023,29315,0,0,100.0
234,16,Karnataka,Belgaum,681728,650913,30815,30815,5091,35906,0,0,100.0
235,16,Karnataka,Dakshina Kannada,583879,575339,8540,8540,0,8540,0,0,100.0
236,16,Karnataka,Bellary,563050,556747,6303,6303,0,6303,0,0,100.0
237,16,Karnataka,Gulbarga,536263,529036,7227,7227,0,7227,0,0,100.0
238,16,Karnataka,Mysore,509435,496628,12807,12807,3923,16730,0,0,100.0
239,16,Karnataka,Tumkur,493602,464373,29229,29229,3479,32708,0,0,100.0
240,16,Karnataka,Shimoga,490159,473915,16244,16244,0,16244,0,0,100.0
241,16,Karnataka,Raichur,460674,450365,10309,10309,0,10309,0,0,100.0
242,16,Karnataka,Hassan,396618,387613,9005,9005,3664,12669,0,0,100.0
243,16,Karnataka,Mandya,387273,375710,11563,11563,3449,15012,0,0,100.0
244,16,Karnataka,Bidar,378517,373511,5006,5006,0,5006,0,0,100.0
245,16,Karnataka,Udupi,334529,320469,14060,14060,0,14060,0,0,100.0
246,16,Karnataka,Chikmagalur,315928,301809,14119,14119,92,14211,0,0,100.0
247,16,Karnataka,Chitradurga,304499,282669,21830,21830,11553,33383,0,0,100.0
248,16,Karnataka,Koppal,296363,290533,5830,5830,0,5830,0,0,100.0
249,16,Karnataka,Bijapur,295754,287009,8745,8745,2052,10797,0,0,100.0
250,16,Karnataka,Haveri,295536,284532,11004,11004,186,11190,0,0,100.0
251,16,Karnataka,Yadgir,292660,279456,13204,13204,0,13204,0,0,100.0
252,16,Karnataka,Ramanagara,288569,276374,12195,12195,1054,13249,0,0,100.0
253,16,Karnataka,Kolar,272963,262406,10557,10557,1854,12411,0,0,100.0
254,16,Karnataka,Davanagere,270743,260051,10692,10692,753,11445,0,0,100.0
255,16,Karnataka,Chikkaballapura,262792,257212,5580,5580,734,6314,0,0,100.0
